CODDIS;COD_DIS_TX;NOMDIS;COD_BAR;COD_DISBAR;COD_DISB;NUM_BAR;NOMBRE;BARRIO_MAY;BARRIO_MT;FCH_ALTA;FCH_BAJA;OBSERVACIONES;APROBACION;Shape_Leng;Shape_Area;;
1;01;Centro;011;11;1-1;1;Palacio;PALACIO;PALACIO;;;;;5.754,83;1.469.905,93;;
1;01;Centro;012;12;1-2;2;Embajadores;EMBAJADORES;EMBAJADORES;;;;;4.275,23;1.033.724,49;;
1;01;Centro;013;13;1-3;3;Cortes;CORTES;CORTES;;;;;3.731,08;591.874,24;;
1;01;Centro;014;14;1-4;4;Justicia;JUSTICIA;JUSTICIA;;;;;3.597,42;739.413,49;;
1;01;Centro;015;15;1-5;5;Universidad;UNIVERSIDAD;UNIVERSIDAD;;;;;4.060,08;948.026,38;;
1;01;Centro;016;16;1-6;8;Sol;SOL;SOL;;;;;2.719,29;445.300,97;;
2;02;Arganzuela;021;21;2-1;1;Imperial;IMPERIAL;IMPERIAL;;;;;4.557,94;967.679,32;;
2;02;Arganzuela;022;22;2-2;2;Acacias;ACACIAS;ACACIAS;;;;;3.950,33;1.073.436,83;;
2;02;Arganzuela;023;23;2-3;3;Chopera;CHOPERA;CHOPERA;;;;;3.203,41;567.786,98;;
2;02;Arganzuela;024;24;2-4;4;Legazpi;LEGAZPI;LEGAZPI;;;;;5.141,64;1.414.470,94;;
2;02;Arganzuela;025;25;2-5;5;Delicias;DELICIAS;DELICIAS;;;;;4.818,00;1.054.679,05;;
2;02;Arganzuela;026;26;2-6;6;Palos de la Frontera;PALOS DE LA FRONTERA;PALOS DE LA FRONTERA;;;;;3.647,75;648.441,64;;
2;02;Arganzuela;027;27;2-7;7;Atocha;ATOCHA;ATOCHA;;;;;4.957,69;735.681,16;;
3;03;Retiro;031;31;3-1;1;Pacífico;PACIFICO;PACÍFICO;;;;;4.017,28;758.250,27;;
3;03;Retiro;032;32;3-2;2;Adelfas;ADELFAS;ADELFAS;;;;;3.584,89;640.789,19;;
3;03;Retiro;033;33;3-3;3;Estrella;ESTRELLA;ESTRELLA;;;;;4.441,31;1.025.524,26;;
3;03;Retiro;034;34;3-4;4;Ibiza;IBIZA;IBIZA;;;;;2.912,82;491.968,68;;
